window_sec,pkg,event_cnt,uniq_cpu,uniq_comm,uniq_tgid,burst,above_median
1777046648,com.tencent.mobileqq,170,8,32,2,1,1
1777046649,com.tencent.mobileqq,125,8,22,1,1,1
1777046650,com.tencent.mobileqq,84,6,21,1,1,1
1777046651,com.tencent.mobileqq,25,4,12,1,0,1
1777046652,com.tencent.mobileqq,11,4,6,1,0,1
1777046653,com.tencent.mobileqq,16,4,7,1,0,1
1777046654,com.tencent.mobileqq,12,3,4,1,0,1
1777046655,com.tencent.mobileqq,59,4,15,1,1,1
1777046656,com.tencent.mobileqq,9,4,3,1,0,1
1777046657,com.tencent.mobileqq,21,4,6,1,0,1
1777046658,com.tencent.mobileqq,16,4,7,1,0,1
1777046659,com.tencent.mobileqq,19,3,5,1,0,1
1777046660,com.tencent.mobileqq,5,3,2,1,0,1
1777046662,com.tencent.mobileqq,1,1,1,1,0,0
1777046664,com.tencent.mobileqq,12,5,5,1,0,1
1777046665,com.tencent.mobileqq,50,8,11,1,1,1
1777046666,com.tencent.mobileqq,2,2,2,1,0,0
1777046667,com.tencent.mobileqq,1,1,1,1,0,0
1777046668,com.tencent.mobileqq,13,5,6,1,0,1
1777046669,com.tencent.mobileqq,1,1,1,1,0,0
1777046670,com.tencent.mobileqq,1,1,1,1,0,0
1777046671,com.tencent.mobileqq,27,6,4,1,0,1
1777046672,com.tencent.mobileqq,2,2,2,1,0,0
1777046673,com.tencent.mobileqq,13,6,4,1,0,1
1777046674,com.tencent.mobileqq,11,7,5,1,0,1
1777046675,com.tencent.mobileqq,37,7,10,1,1,1
1777046676,com.tencent.mobileqq,3,3,1,1,0,1
1777046677,com.tencent.mobileqq,142,8,20,1,1,1
1777046678,com.tencent.mobileqq,95,8,18,1,1,1
1777046679,com.tencent.mobileqq,26,8,7,1,0,1
1777046680,com.tencent.mobileqq,45,6,8,1,1,1
1777046681,com.tencent.mobileqq,22,7,7,1,0,1
1777046682,com.tencent.mobileqq,59,6,5,1,1,1
1777046683,com.tencent.mobileqq,39,7,9,1,1,1
1777046684,com.tencent.mobileqq,36,6,5,1,0,1
1777046685,com.tencent.mobileqq,2,2,2,1,0,0
1777046686,com.tencent.mobileqq,2,1,2,2,0,0
1777046687,com.tencent.mobileqq,31,6,3,1,0,1
1777046689,com.tencent.mobileqq,1,1,1,1,0,0
1777046690,com.tencent.mobileqq,25,4,5,1,0,1
1777046691,com.tencent.mobileqq,4,1,2,1,0,1
1777046693,com.tencent.mobileqq,7,5,5,1,0,1
1777046694,com.tencent.mobileqq,2,2,1,1,0,0
1777046695,com.tencent.mobileqq,3,2,3,1,0,1
1777046696,com.tencent.mobileqq,4,3,2,1,0,1
1777046697,com.tencent.mobileqq,1,1,1,1,0,0
1777046699,com.tencent.mobileqq,25,7,5,1,0,1
1777046700,com.tencent.mobileqq,3,1,3,1,0,1
1777046701,com.tencent.mobileqq,3,3,2,1,0,1
1777046702,com.tencent.mobileqq,7,5,4,1,0,1
1777046703,com.tencent.mobileqq,1,1,1,1,0,0
1777046704,com.tencent.mobileqq,1,1,1,1,0,0
1777046705,com.tencent.mobileqq,3,3,2,1,0,1
1777046706,com.tencent.mobileqq,4,2,1,1,0,1
1777046708,com.tencent.mobileqq,2,2,2,1,0,0
1777046709,com.tencent.mobileqq,34,7,10,1,0,1
1777046710,com.tencent.mobileqq,24,7,7,1,0,1
1777046711,com.tencent.mobileqq,2,2,1,1,0,0
1777046712,com.tencent.mobileqq,5,4,2,1,0,1
1777046713,com.tencent.mobileqq,6,5,4,1,0,1
1777046714,com.tencent.mobileqq,1,1,1,1,0,0
1777046715,com.tencent.mobileqq,1,1,1,1,0,0
1777046716,com.tencent.mobileqq,4,3,1,1,0,1
1777046717,com.tencent.mobileqq,1,1,1,1,0,0
1777046719,com.tencent.mobileqq,24,6,5,1,0,1
1777046720,com.tencent.mobileqq,3,3,2,1,0,1
1777046722,com.tencent.mobileqq,8,6,5,1,0,1
1777046723,com.tencent.mobileqq,2,2,1,1,0,0
1777046724,com.tencent.mobileqq,1,1,1,1,0,0
1777046725,com.tencent.mobileqq,4,3,2,1,0,1
1777046726,com.tencent.mobileqq,1,1,1,1,0,0
1777046728,com.tencent.mobileqq,22,6,4,1,0,1
1777046729,com.tencent.mobileqq,3,2,2,1,0,1
1777046730,com.tencent.mobileqq,2,1,2,1,0,0
1777046731,com.tencent.mobileqq,6,3,5,1,0,1
1777046732,com.tencent.mobileqq,3,3,2,1,0,1
1777046733,com.tencent.mobileqq,1,1,1,1,0,0
1777046734,com.tencent.mobileqq,2,1,1,1,0,0
1777046735,com.tencent.mobileqq,3,3,2,1,0,1
1777046737,com.tencent.mobileqq,1,1,1,1,0,0
1777046738,com.tencent.mobileqq,24,5,3,1,0,1
1777046739,com.tencent.mobileqq,2,2,2,1,0,0
1777046740,com.tencent.mobileqq,1,1,1,1,0,0
1777046741,com.tencent.mobileqq,8,6,4,1,0,1
1777046742,com.tencent.mobileqq,3,2,2,1,0,1
1777046743,com.tencent.mobileqq,1,1,1,1,0,0
1777046744,com.tencent.mobileqq,3,3,2,1,0,1
1777046745,com.tencent.mobileqq,2,1,2,1,0,0
1777046747,com.tencent.mobileqq,25,6,5,1,0,1
1777046748,com.tencent.mobileqq,2,2,2,1,0,0
1777046749,com.tencent.mobileqq,1,1,1,1,0,0
1777046750,com.tencent.mobileqq,5,4,4,1,0,1
1777046751,com.tencent.mobileqq,2,2,1,1,0,0
1777046752,com.tencent.mobileqq,1,1,1,1,0,0
1777046753,com.tencent.mobileqq,2,2,1,1,0,0
1777046754,com.tencent.mobileqq,2,2,1,1,0,0
1777046755,com.tencent.mobileqq,2,2,2,1,0,0
1777046756,com.tencent.mobileqq,5,4,2,1,0,1
1777046757,com.tencent.mobileqq,19,4,3,1,0,1
1777046758,com.tencent.mobileqq,2,1,2,1,0,0
1777046759,com.tencent.mobileqq,1,1,1,1,0,0
1777046760,com.tencent.mobileqq,1,1,1,1,0,0
1777046765,com.tencent.mobileqq,1,1,1,1,0,0
1777046769,com.tencent.mobileqq,1,1,1,1,0,0
1777046770,com.tencent.mobileqq,7,4,6,1,0,1
1777046771,com.tencent.mobileqq,1,1,1,1,0,0
1777046772,com.tencent.mobileqq,1,1,1,1,0,0
1777046775,com.tencent.mobileqq,1,1,1,1,0,0
1777046780,com.tencent.mobileqq,1,1,1,1,0,0
1777046785,com.tencent.mobileqq,2,2,2,1,0,0
1777046786,com.tencent.mobileqq,1,1,1,1,0,0
1777046787,com.tencent.mobileqq,27,4,11,1,0,1
1777046788,com.tencent.mobileqq,88,8,13,1,1,1
1777046789,com.tencent.mobileqq,15,6,7,1,0,1
1777046790,com.tencent.mobileqq,1,1,1,1,0,0
1777046791,com.tencent.mobileqq,2,2,2,1,0,0
1777046792,com.tencent.mobileqq,1,1,1,1,0,0
1777046793,com.tencent.mobileqq,1,1,1,1,0,0
1777046795,com.tencent.mobileqq,1,1,1,1,0,0
1777046796,com.tencent.mobileqq,16,3,2,1,0,1
1777046797,com.tencent.mobileqq,15,4,3,1,0,1
1777046798,com.tencent.mobileqq,28,4,9,1,0,1
1777046799,com.tencent.mobileqq,3,2,3,1,0,1
1777046800,com.tencent.mobileqq,3,2,3,1,0,1
1777046804,com.tencent.mobileqq,1,1,1,1,0,0
1777046805,com.tencent.mobileqq,1,1,1,1,0,0
1777046809,com.tencent.mobileqq,1,1,1,1,0,0
