"window_sec","pkg","event_cnt","uniq_cpu","uniq_comm","uniq_tgid"
"1777046643","com.google.android.apps.scone","1","1","1","1"
"1777046643","com.topjohnwu.magisk","1","1","1","1"
"1777046644","com.android.systemui","2","2","1","1"
"1777046645","com.android.systemui","1","1","1","1"
"1777046646","com.android.systemui","1","1","1","1"
"1777046647","com.android.systemui","3","2","2","1"
"1777046647","com.google.android.apps.scone","3","2","2","1"
"1777046647","com.google.android.gms","1","1","1","1"
"1777046648","com.android.systemui","79","8","9","1"
"1777046648","com.google.android.apps.nexuslauncher","109","8","6","1"
"1777046648","com.google.android.as","10","5","1","1"
"1777046648","com.google.android.inputmethod.latin","2","2","1","1"
"1777046648","com.google.android.pixelsystemservice","3","3","2","1"
"1777046648","com.tencent.mobileqq","170","8","32","2"
"1777046648","com.tencent.mobileqq:MSF","105","6","16","1"
"1777046649","com.android.systemui","159","6","7","1"
"1777046649","com.google.android.apps.nexuslauncher","182","8","7","1"
"1777046649","com.google.android.as","2","1","1","1"
"1777046649","com.google.android.gms.persistent","1","1","1","1"
"1777046649","com.google.android.pixelsystemservice","1","1","1","1"
"1777046649","com.google.android.providers.media.module","2","1","2","1"
"1777046649","com.tencent.mobileqq","125","8","22","1"
"1777046649","com.tencent.mobileqq:MSF","86","6","8","1"
"1777046650","com.android.systemui","37","6","7","1"
"1777046650","com.google.android.apps.nexuslauncher","56","8","6","1"
"1777046650","com.google.android.apps.scone","1","1","1","1"
"1777046650","com.google.android.gms","13","5","5","1"
"1777046650","com.google.android.gms.persistent","22","4","4","1"
"1777046650","com.google.android.inputmethod.latin","1","1","1","1"
"1777046650","com.google.android.pixelsystemservice","4","2","2","1"
"1777046650","com.google.android.providers.media.module","8","5","4","1"
"1777046650","com.tencent.mobileqq","84","6","21","1"
"1777046650","com.tencent.mobileqq:MSF","63","6","5","1"
"1777046651","com.tencent.mobileqq","25","4","12","1"
"1777046651","com.tencent.mobileqq:MSF","26","4","4","1"
"1777046652","com.android.hbmsvmanager","1","1","1","1"
"1777046652","com.google.android.apps.nexuslauncher","1","1","1","1"
"1777046652","com.google.android.apps.scone","1","1","1","1"
"1777046652","com.google.android.connectivitythermalpowermanager","1","1","1","1"
"1777046652","com.tencent.mobileqq","11","4","6","1"
"1777046652","com.tencent.mobileqq:MSF","13","4","3","1"
"1777046653","com.google.android.apps.scone","1","1","1","1"
"1777046653","com.google.android.as","1","1","1","1"
"1777046653","com.tencent.mobileqq","16","4","7","1"
"1777046653","com.tencent.mobileqq:MSF","16","4","3","1"
"1777046654","com.tencent.mobileqq","12","3","4","1"
"1777046654","com.tencent.mobileqq:MSF","13","3","2","1"
"1777046655","com.tencent.mobileqq","59","4","15","1"
"1777046655","com.tencent.mobileqq:MSF","60","4","6","1"
"1777046656","com.google.android.apps.scone","1","1","1","1"
"1777046656","com.tencent.mobileqq","9","4","3","1"
"1777046656","com.tencent.mobileqq:MSF","10","3","3","1"
"1777046657","com.google.android.apps.scone","1","1","1","1"
"1777046657","com.google.android.providers.media.module","1","1","1","1"
"1777046657","com.tencent.mobileqq","21","4","6","1"
"1777046657","com.tencent.mobileqq:MSF","21","4","3","1"
"1777046658","com.tencent.mobileqq","16","4","7","1"
"1777046658","com.tencent.mobileqq:MSF","16","4","4","1"
"1777046659","com.google.android.apps.scone","1","1","1","1"
"1777046659","com.tencent.mobileqq","19","3","5","1"
"1777046659","com.tencent.mobileqq:MSF","17","3","3","1"
"1777046660","com.google.android.apps.nbu.files","2","2","2","1"
"1777046660","com.google.android.apps.photos","40","5","9","1"
"1777046660","com.google.android.gms.persistent","8","5","2","1"
"1777046660","com.google.android.GoogleCamera","3","2","1","1"
"1777046660","com.google.android.pixelsystemservice","2","2","1","1"
"1777046660","com.google.android.providers.media.module","25","4","1","1"
"1777046660","com.tencent.mobileqq","5","3","2","1"
"1777046660","com.tencent.mobileqq:MSF","9","4","2","1"
"1777046661","com.google.android.apps.photos","1","1","1","1"
"1777046661","com.google.android.providers.media.module","1","1","1","1"
"1777046662","com.google.android.apps.scone","2","2","2","1"
"1777046662","com.google.android.connectivitythermalpowermanager","1","1","1","1"
"1777046662","com.google.android.providers.media.module","8","3","1","1"
"1777046662","com.tencent.mobileqq","1","1","1","1"
"1777046663","com.google.android.apps.nbu.files","1","1","1","1"
"1777046663","com.google.android.providers.media.module","1","1","1","1"
"1777046664","com.android.systemui","11","5","5","1"
"1777046664","com.google.android.apps.nexuslauncher","10","6","4","1"
"1777046664","com.google.android.pixelsystemservice","2","2","2","1"
"1777046664","com.tencent.mobileqq","12","5","5","1"
"1777046664","com.tencent.mobileqq:MSF","2","2","1","1"
"1777046665","com.android.systemui","30","6","4","1"
"1777046665","com.google.android.apps.nexuslauncher","33","5","4","1"
"1777046665","com.google.android.apps.scone","1","1","1","1"
"1777046665","com.google.android.gms","1","1","1","1"
"1777046665","com.google.android.inputmethod.latin","6","4","1","1"
"1777046665","com.google.android.pixelsystemservice","1","1","1","1"
"1777046665","com.tencent.mobileqq","50","8","11","1"
"1777046665","com.tencent.mobileqq:MSF","29","6","7","1"
"1777046666","com.android.systemui","1","1","1","1"
"1777046666","com.google.android.apps.nexuslauncher","1","1","1","1"
"1777046666","com.tencent.mobileqq","2","2","2","1"
"1777046667","com.google.android.apps.scone","1","1","1","1"
"1777046667","com.tencent.mobileqq","1","1","1","1"
"1777046667","com.tencent.mobileqq:MSF","1","1","1","1"
"1777046668","com.google.android.apps.scone","1","1","1","1"
"1777046668","com.tencent.mobileqq","13","5","6","1"
"1777046668","com.tencent.mobileqq:MSF","10","5","3","1"
"1777046669","com.tencent.mobileqq","1","1","1","1"
"1777046670","com.tencent.mobileqq","1","1","1","1"
"1777046670","com.tencent.mobileqq:MSF","3","2","3","1"
"1777046671","com.android.systemui","21","6","1","1"
"1777046671","com.google.android.apps.scone","1","1","1","1"
"1777046671","com.tencent.mobileqq","27","6","4","1"
"1777046671","com.tencent.mobileqq:MSF","7","4","3","1"
"1777046672","com.google.android.apps.scone","1","1","1","1"
"1777046672","com.google.android.connectivitythermalpowermanager","1","1","1","1"
"1777046672","com.tencent.mobileqq","2","2","2","1"
"1777046673","com.google.android.apps.nexuslauncher","4","3","1","1"
"1777046673","com.google.android.inputmethod.latin","1","1","1","1"
"1777046673","com.tencent.mobileqq","13","6","4","1"
"1777046673","com.tencent.mobileqq:MSF","8","3","4","1"
"1777046674","com.android.systemui","2","1","1","1"
"1777046674","com.google.android.apps.nexuslauncher","2","2","1","1"
"1777046674","com.google.android.apps.scone","1","1","1","1"
"1777046674","com.tencent.mobileqq","11","7","5","1"
"1777046674","com.tencent.mobileqq:MSF","10","5","4","1"
"1777046675","com.android.systemui","22","6","5","1"
"1777046675","com.google.android.apps.nexuslauncher","4","3","2","1"
"1777046675","com.google.android.inputmethod.latin","5","2","1","1"
"1777046675","com.tencent.mobileqq","37","7","10","1"
"1777046675","com.tencent.mobileqq:MSF","16","6","5","1"
"1777046676","com.android.hbmsvmanager","1","1","1","1"
"1777046676","com.tencent.mobileqq","3","3","1","1"
"1777046677","com.android.systemui","74","6","7","1"
"1777046677","com.google.android.apps.nexuslauncher","10","6","2","1"
"1777046677","com.google.android.apps.scone","2","2","2","1"
"1777046677","com.google.android.inputmethod.latin","11","4","1","1"
"1777046677","com.tencent.mobileqq","142","8","20","1"
"1777046677","com.tencent.mobileqq:MSF","59","6","7","1"
"1777046677","com.tencent.mobileqq:tool","51","6","10","1"
"1777046678","com.android.systemui","31","6","6","1"
"1777046678","com.google.android.apps.nexuslauncher","5","3","2","1"
"1777046678","com.google.android.gms","1","1","1","1"
"1777046678","com.google.android.inputmethod.latin","3","1","1","1"
"1777046678","com.google.android.pixelsystemservice","1","1","1","1"
"1777046678","com.google.android.providers.media.module","6","2","2","1"
"1777046678","com.google.android.webview:sandboxed_process0:org.chromium.content.app.SandboxedProcessService0:0","4","4","1","1"
"1777046678","com.tencent.mobileqq","95","8","18","1"
"1777046678","com.tencent.mobileqq:MSF","36","6","6","1"
"1777046678","com.tencent.mobileqq:tool","47","4","13","1"
"1777046679","com.android.systemui","50","6","6","1"
"1777046679","com.google.android.apps.nexuslauncher","43","7","8","1"
"1777046679","com.google.android.as","6","2","1","1"
"1777046679","com.google.android.gms","21","5","5","1"
"1777046679","com.google.android.gms.persistent","15","6","3","1"
"1777046679","com.google.android.pixelsystemservice","3","3","1","1"
"1777046679","com.google.android.webview:sandboxed_process0:org.chromium.content.app.SandboxedProcessService0:0","12","5","2","1"
"1777046679","com.google.android.webview:webview_service","8","3","2","1"
"1777046679","com.tencent.mobileqq","26","8","7","1"
"1777046679","com.tencent.mobileqq:MSF","11","5","4","1"
"1777046679","com.tencent.mobileqq:tool","54","4","8","1"
"1777046680","com.android.systemui","20","4","3","1"
"1777046680","com.google.android.apps.scone","1","1","1","1"
"1777046680","com.google.android.gms","21","5","5","1"
"1777046680","com.google.android.gms.persistent","14","4","3","1"
"1777046680","com.google.android.providers.media.module","4","2","1","1"
"1777046680","com.tencent.mobileqq","45","6","8","1"
"1777046680","com.tencent.mobileqq:MSF","19","6","3","1"
"1777046680","com.tencent.mobileqq:tool","4","2","2","1"
"1777046681","com.android.systemui","1","1","1","1"
"1777046681","com.google.android.apps.nexuslauncher","1","1","1","1"
"1777046681","com.google.android.gms","1","1","1","1"
"1777046681","com.tencent.mobileqq","22","7","7","1"
"1777046681","com.tencent.mobileqq:MSF","20","5","3","1"
"1777046682","com.google.android.apps.scone","1","1","1","1"
"1777046682","com.google.android.connectivitythermalpowermanager","1","1","1","1"
"1777046682","com.tencent.mobileqq","59","6","5","1"
"1777046682","com.tencent.mobileqq:MSF","3","2","2","1"
"1777046682","com.tencent.mobileqq:tool","57","4","4","1"
"1777046683","com.android.hbmsvmanager","2","2","2","1"
"1777046683","com.android.systemui","2","1","1","1"
"1777046683","com.google.android.apps.nexuslauncher","2","1","1","1"
"1777046683","com.tencent.mobileqq","39","7","9","1"
"1777046683","com.tencent.mobileqq:MSF","7","3","4","1"
"1777046683","com.tencent.mobileqq:tool","27","3","2","1"
"1777046684","com.android.systemui","23","5","2","1"
"1777046684","com.google.android.apps.nexuslauncher","3","2","1","1"
"1777046684","com.google.android.apps.scone","1","1","1","1"
"1777046684","com.tencent.mobileqq","36","6","5","1"
"1777046684","com.tencent.mobileqq:MSF","10","6","3","1"
"1777046684","com.tencent.mobileqq:tool","1","1","1","1"
"1777046685","com.tencent.mobileqq","2","2","2","1"
"1777046686","com.google.android.rkpdapp","1","1","1","1"
"1777046686","com.tencent.mobileqq","2","1","2","2"
"1777046686","com.tencent.mobileqq:MSF","1","1","1","1"
"1777046687","com.google.android.apps.scone","2","2","2","1"
"1777046687","com.google.android.gms","2","1","1","1"
"1777046687","com.tencent.mobileqq","31","6","3","1"
"1777046687","com.tencent.mobileqq:MSF","1","1","1","1"
"1777046687","com.tencent.mobileqq:tool","25","4","1","1"
"1777046688","com.tencent.mobileqq:tool","1","1","1","1"
"1777046689","com.tencent.mobileqq","1","1","1","1"
"1777046690","com.android.systemui","21","6","1","1"
"1777046690","com.google.android.apps.scone","1","1","1","1"
"1777046690","com.tencent.mobileqq","25","4","5","1"
"1777046690","com.tencent.mobileqq:MSF","3","3","3","1"
"1777046691","com.google.android.rkpdapp","1","1","1","1"
"1777046691","com.tencent.mobileqq","4","1","2","1"
"1777046691","com.tencent.mobileqq:MSF","1","1","1","1"
"1777046692","com.google.android.apps.scone","1","1","1","1"
"1777046692","com.google.android.connectivitythermalpowermanager","1","1","1","1"
"1777046693","com.android.systemui","2","2","1","1"
"1777046693","com.google.android.apps.nexuslauncher","2","2","1","1"
"1777046693","com.google.android.apps.scone","1","1","1","1"
"1777046693","com.tencent.mobileqq","7","5","5","1"
"1777046693","com.tencent.mobileqq:MSF","5","4","4","1"
"1777046693","com.tencent.mobileqq:tool","1","1","1","1"
"1777046694","com.google.android.gms","2","2","1","1"
"1777046694","com.google.android.gms.persistent","10","3","2","1"
"1777046694","com.tencent.mobileqq","2","2","1","1"
"1777046694","com.tencent.mobileqq:tool","10","3","3","1"
"1777046695","com.google.android.gms","1","1","1","1"
"1777046695","com.tencent.mobileqq","3","2","3","1"
"1777046695","com.tencent.mobileqq:tool","1","1","1","1"
"1777046696","com.google.android.apps.scone","1","1","1","1"
"1777046696","com.tencent.mobileqq","4","3","2","1"
"1777046696","com.tencent.mobileqq:MSF","1","1","1","1"
"1777046697","com.google.android.apps.scone","1","1","1","1"
"1777046697","com.google.android.gms.persistent","2","1","1","1"
"1777046697","com.tencent.mobileqq","1","1","1","1"
"1777046697","com.tencent.mobileqq:tool","2","2","2","1"
"1777046699","com.android.systemui","21","6","1","1"
"1777046699","com.google.android.apps.scone","1","1","1","1"
"1777046699","com.tencent.mobileqq","25","7","5","1"
"1777046699","com.tencent.mobileqq:MSF","3","2","3","1"
"1777046700","com.android.systemui","2","2","1","1"
"1777046700","com.google.android.apps.wellbeing","1","1","1","1"
"1777046700","com.google.android.pixelsystemservice","1","1","1","1"
"1777046700","com.tencent.mm","26","4","8","1"
"1777046700","com.tencent.mm:push","26","5","7","1"
"1777046700","com.tencent.mobileqq","3","1","3","1"
"1777046701","com.tencent.mm:push","5","3","2","1"
"1777046701","com.tencent.mobileqq","3","3","2","1"
"1777046702","com.android.systemui","1","1","1","1"
"1777046702","com.google.android.apps.nexuslauncher","1","1","1","1"
"1777046702","com.google.android.apps.scone","2","2","2","1"
"1777046702","com.google.android.connectivitythermalpowermanager","1","1","1","1"
"1777046702","com.tencent.mobileqq","7","5","4","1"
"1777046702","com.tencent.mobileqq:MSF","5","3","4","1"
"1777046702","com.tencent.mobileqq:tool","1","1","1","1"
"1777046703","com.tencent.mobileqq","1","1","1","1"
"1777046704","com.tencent.mobileqq","1","1","1","1"
"1777046705","com.google.android.apps.scone","1","1","1","1"
"1777046705","com.tencent.mobileqq","3","3","2","1"
"1777046706","com.tencent.mobileqq","4","2","1","1"
"1777046706","com.tencent.mobileqq:MSF","2","2","2","1"
"1777046707","com.google.android.apps.scone","1","1","1","1"
"1777046708","com.google.android.apps.scone","1","1","1","1"
"1777046708","com.tencent.mobileqq","2","2","2","1"
"1777046708","com.tencent.mobileqq:MSF","3","3","3","1"
"1777046709","com.android.systemui","12","4","1","1"
"1777046709","com.tencent.mobileqq","34","7","10","1"
"1777046709","com.tencent.mobileqq:MSF","23","6","4","1"
"1777046710","com.android.systemui","9","5","1","1"
"1777046710","com.tencent.mm","1","1","1","1"
"1777046710","com.tencent.mm:push","1","1","1","1"
"1777046710","com.tencent.mobileqq","24","7","7","1"
"1777046710","com.tencent.mobileqq:MSF","16","5","3","1"
"1777046711","com.tencent.mobileqq","2","2","1","1"
"1777046712","com.google.android.apps.scone","3","1","2","1"
"1777046712","com.google.android.connectivitythermalpowermanager","1","1","1","1"
"1777046712","com.tencent.mobileqq","5","4","2","1"
"1777046712","com.tencent.mobileqq:tool","1","1","1","1"
"1777046713","com.android.systemui","2","2","1","1"
"1777046713","com.google.android.apps.nexuslauncher","2","1","1","1"
"1777046713","com.tencent.mobileqq","6","5","4","1"
"1777046713","com.tencent.mobileqq:MSF","5","4","4","1"
"1777046713","com.tencent.mobileqq:tool","1","1","1","1"
"1777046714","com.tencent.mobileqq","1","1","1","1"
"1777046715","com.google.android.apps.scone","1","1","1","1"
"1777046715","com.tencent.mm:push","1","1","1","1"
"1777046715","com.tencent.mobileqq","1","1","1","1"
"1777046716","com.tencent.mm:push","2","2","2","1"
"1777046716","com.tencent.mobileqq","4","3","1","1"
"1777046716","com.tencent.mobileqq:MSF","1","1","1","1"
"1777046717","com.google.android.apps.scone","1","1","1","1"
"1777046717","com.tencent.mobileqq","1","1","1","1"
"1777046718","com.google.android.apps.scone","1","1","1","1"
"1777046719","com.android.systemui","21","6","1","1"
"1777046719","com.tencent.mobileqq","24","6","5","1"
"1777046719","com.tencent.mobileqq:MSF","3","2","3","1"
"1777046720","com.tencent.mobileqq","3","3","2","1"
"1777046721","com.google.android.apps.scone","1","1","1","1"
"1777046722","com.android.systemui","1","1","1","1"
